idpk,CIK,year,AnnualReportLink,QuarterlyReportLinkQ1,QuarterlyReportLinkQ2,QuarterlyReportLinkQ3,QuarterlyReportLinkQ4
1,1180145,2022,https://www.sec.gov/Archives/edgar/data/1180145/000118014522000038/csii-20220630.htm,https://www.sec.gov/Archives/edgar/data/1180145/000118014522000019/csii-20220331.htm,,https://www.sec.gov/Archives/edgar/data/1180145/000118014522000052/csii-20220930.htm,https://www.sec.gov/Archives/edgar/data/1180145/000118014523000016/csii-20221231.htm
2,1180145,2021,https://www.sec.gov/Archives/edgar/data/1180145/000118014521000032/csii-20210630.htm,https://www.sec.gov/Archives/edgar/data/1180145/000118014521000020/csii-20210331.htm,,https://www.sec.gov/Archives/edgar/data/1180145/000118014521000046/csii-20210930.htm,https://www.sec.gov/Archives/edgar/data/1180145/000118014522000004/csii-20211231.htm
3,1180145,2020,https://www.sec.gov/Archives/edgar/data/1180145/000118014520000042/csii-20200630.htm,https://www.sec.gov/Archives/edgar/data/1180145/000118014520000023/csii-20200331.htm,,https://www.sec.gov/Archives/edgar/data/1180145/000118014520000052/csii-20200930.htm,https://www.sec.gov/Archives/edgar/data/1180145/000118014521000010/csii-20201231.htm
4,1180145,2019,https://www.sec.gov/Archives/edgar/data/1180145/000118014519000028/csii10-kx63019.htm,https://www.sec.gov/Archives/edgar/data/1180145/000118014519000015/a10-qq3fy19.htm,,https://www.sec.gov/Archives/edgar/data/1180145/000118014519000043/csii-20190930.htm,https://www.sec.gov/Archives/edgar/data/1180145/000118014520000008/csii-20191231.htm
5,1180145,2018,https://www.sec.gov/Archives/edgar/data/1180145/000118014518000044/csii10-kx63018.htm,https://www.sec.gov/Archives/edgar/data/1180145/000118014518000026/a10-qq333118.htm,,https://www.sec.gov/Archives/edgar/data/1180145/000118014518000054/a10-qq1fy19.htm,https://www.sec.gov/Archives/edgar/data/1180145/000118014519000008/a10-qq2fy19.htm
6,1180145,2017,https://www.sec.gov/Archives/edgar/data/1180145/000118014517000040/csii10-kx63017.htm,https://www.sec.gov/Archives/edgar/data/1180145/000118014517000024/a10-qq333117.htm,,https://www.sec.gov/Archives/edgar/data/1180145/000118014517000055/a10-qq193017.htm,https://www.sec.gov/Archives/edgar/data/1180145/000118014518000012/a10-qq2123117.htm
7,1180145,2016,https://www.sec.gov/Archives/edgar/data/1180145/000118014516000096/csii10-kx63016.htm,https://www.sec.gov/Archives/edgar/data/1180145/000118014516000075/a10-qq333116.htm,,https://www.sec.gov/Archives/edgar/data/1180145/000118014516000105/a10-qq193016.htm,https://www.sec.gov/Archives/edgar/data/1180145/000118014517000009/a10-qq2123116.htm
8,1180145,2015,https://www.sec.gov/Archives/edgar/data/1180145/000118014515000026/csii10-kx63015.htm,https://www.sec.gov/Archives/edgar/data/1180145/000118014515000011/a10-qq333115.htm,,https://www.sec.gov/Archives/edgar/data/1180145/000118014515000045/a10-qq193015.htm,https://www.sec.gov/Archives/edgar/data/1180145/000118014516000058/a10-qq2123115.htm
9,1180145,2014,https://www.sec.gov/Archives/edgar/data/1180145/000118014514000030/csii10-kx63014.htm,https://www.sec.gov/Archives/edgar/data/1180145/000118014514000009/csii2014331q310-q.htm,,https://www.sec.gov/Archives/edgar/data/1180145/000118014514000043/a10-qq193014.htm,https://www.sec.gov/Archives/edgar/data/1180145/000118014515000004/a10-qq2123114.htm
10,862022,2024,https://www.sec.gov/Archives/edgar/data/862022/000095017025047645/hgt_2024_10-k.htm,https://www.sec.gov/Archives/edgar/data/862022/000095017024059608/hgt_10-q_2403.htm,https://www.sec.gov/Archives/edgar/data/862022/000095017024096265/hgt_10-q_2406.htm,https://www.sec.gov/Archives/edgar/data/862022/000095017024126142/hgt_10-q_2409.htm,
11,862022,2023,https://www.sec.gov/Archives/edgar/data/862022/000119312524083466/d752648d10k.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312523143177/d711555d10q.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312523210427/d534200d10q.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312523276017/d399836d10q.htm,
12,862022,2022,https://www.sec.gov/Archives/edgar/data/862022/000119312523085728/d770334d10k.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312522149758/d358612d10q.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312522219786/d354795d10q.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312522284138/d485682d10q.htm,
13,862022,2021,https://www.sec.gov/Archives/edgar/data/862022/000119312522089900/d244097d10k.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312521163625/d106009d10q.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312521246009/d199753d10q.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312521327830/d253333d10q.htm,
14,862022,2020,https://www.sec.gov/Archives/edgar/data/862022/000119312521102359/d101737d10k.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312520143824/d901753d10q.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312520219237/d834735d10q.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312520292891/d67316d10q.htm,
15,862022,2019,https://www.sec.gov/Archives/edgar/data/862022/000156459020014270/hgtxu-10k_20191231.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312519146518/d740856d10q.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312519217921/d786067d10q.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312519292478/d800616d10q.htm,
16,862022,2018,https://www.sec.gov/Archives/edgar/data/862022/000119312519092643/d692338d10k.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312518159143/d576500d10q.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312518239832/d603059d10q.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312518319452/d638279d10q.htm,
17,862022,2017,https://www.sec.gov/Archives/edgar/data/862022/000119312518079412/d546446d10k.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312517160674/d378405d10q.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312517248305/d434609d10q.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312517333770/d487131d10q.htm,
18,862022,2016,https://www.sec.gov/Archives/edgar/data/862022/000119312517078273/d340239d10k.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312516579023/d189568d10q.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312516671587/d228439d10q.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312516759797/d271639d10q.htm,
19,862022,2015,https://www.sec.gov/Archives/edgar/data/862022/000119312516501209/d142004d10k.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312515171721/d918200d10q.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312515282474/d78540d10q.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312515369948/d84821d10q.htm,
20,862022,2014,https://www.sec.gov/Archives/edgar/data/862022/000119312515080513/d858811d10k.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312514191812/d722420d10q.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312514297319/d764711d10q.htm,https://www.sec.gov/Archives/edgar/data/862022/000119312514405256/d816345d10q.htm,
21,1867757,2022,https://www.sec.gov/Archives/edgar/data/1867757/000141057823000691/bmaqu-20221231x10k.htm,https://www.sec.gov/Archives/edgar/data/1867757/000141057822001668/bmaqu-20220331x10q.htm,https://www.sec.gov/Archives/edgar/data/1867757/000141057822002464/bmaqu-20220630x10q.htm,https://www.sec.gov/Archives/edgar/data/1867757/000141057822003369/bmaqu-20220930x10q.htm,
22,1867757,2021,https://www.sec.gov/Archives/edgar/data/1867757/000141057822000897/bmaqu-20211231x10k.htm,,,https://www.sec.gov/Archives/edgar/data/1867757/000141057821000474/bmaqu-20210930x10q.htm,
23,1847112,2024,,https://www.sec.gov/Archives/edgar/data/1847112/000119312524139474/d743459d10q.htm,https://www.sec.gov/Archives/edgar/data/1847112/000119312524200628/d20593d10q.htm,,
24,1847112,2023,https://www.sec.gov/Archives/edgar/data/1847112/000119312524083368/d772389d10k.htm,https://www.sec.gov/Archives/edgar/data/1847112/000121390023038579/f10q0323_tortoiseecofin3.htm,https://www.sec.gov/Archives/edgar/data/1847112/000121390023066243/f10q0623_tortoiseecofin3.htm,https://www.sec.gov/Archives/edgar/data/1847112/000119312523277123/d553556d10q.htm,
25,1847112,2022,https://www.sec.gov/Archives/edgar/data/1847112/000121390023022113/f10k2022_tortoiseacq3.htm,https://www.sec.gov/Archives/edgar/data/1847112/000121390022025588/f10q0322_tortoiseecofin3.htm,https://www.sec.gov/Archives/edgar/data/1847112/000121390022046922/f10q0622_tortoiseecofin3.htm,https://www.sec.gov/Archives/edgar/data/1847112/000121390022071174/f10q0922_tortoiseecofin3.htm,
26,1847112,2021,https://www.sec.gov/Archives/edgar/data/1847112/000121390022014915/f10k2021_tortoiseacq3.htm,,https://www.sec.gov/Archives/edgar/data/1847112/000121390021045894/f10q0621_tortoiseecofin3.htm,https://www.sec.gov/Archives/edgar/data/1847112/000121390022003095/f10q0921a1_tortoiseacq3.htm,
27,1217234,2024,https://www.sec.gov/Archives/edgar/data/1217234/000121723425000012/cdna-20241231.htm,https://www.sec.gov/Archives/edgar/data/1217234/000121723424000064/cdna-20240331.htm,https://www.sec.gov/Archives/edgar/data/1217234/000121723424000083/cdna-20240630.htm,https://www.sec.gov/Archives/edgar/data/1217234/000121723424000103/cdna-20240930.htm,
28,1217234,2023,https://www.sec.gov/Archives/edgar/data/1217234/000121723424000033/cdna-20231231.htm,https://www.sec.gov/Archives/edgar/data/1217234/000121723423000096/cdna-20230331.htm,https://www.sec.gov/Archives/edgar/data/1217234/000121723423000180/cdna-20230630.htm,https://www.sec.gov/Archives/edgar/data/1217234/000121723423000226/cdna-20230930.htm,
29,1217234,2022,https://www.sec.gov/Archives/edgar/data/1217234/000121723423000046/cdna-20221231.htm,https://www.sec.gov/Archives/edgar/data/1217234/000121723422000093/cdna-20220331.htm,https://www.sec.gov/Archives/edgar/data/1217234/000121723422000150/cdna-20220630.htm,https://www.sec.gov/Archives/edgar/data/1217234/000121723422000184/cdna-20220930.htm,
30,1217234,2021,https://www.sec.gov/Archives/edgar/data/1217234/000121723422000056/cdna-20211231.htm,https://www.sec.gov/Archives/edgar/data/1217234/000121723421000093/cdna-20210331.htm,https://www.sec.gov/Archives/edgar/data/1217234/000121723421000190/cdna-20210630.htm,https://www.sec.gov/Archives/edgar/data/1217234/000121723421000235/cdna-20210930.htm,
31,1217234,2020,https://www.sec.gov/Archives/edgar/data/1217234/000121723421000046/cdna-20201231.htm,https://www.sec.gov/Archives/edgar/data/1217234/000121723420000057/cdna-20200331.htm,https://www.sec.gov/Archives/edgar/data/1217234/000121723420000146/cdna-20200630.htm,https://www.sec.gov/Archives/edgar/data/1217234/000121723420000192/cdna-20200930.htm,
32,1217234,2019,https://www.sec.gov/Archives/edgar/data/1217234/000121723420000033/cdna-20191231.htm,https://www.sec.gov/Archives/edgar/data/1217234/000156459019017322/cdna-10q_20190331.htm,https://www.sec.gov/Archives/edgar/data/1217234/000156459019028018/cdna-10q_20190630.htm,https://www.sec.gov/Archives/edgar/data/1217234/000162828019012991/cdna-20190930.htm,
33,1217234,2018,https://www.sec.gov/Archives/edgar/data/1217234/000156459019006533/cdna-10k_20181231.htm,https://www.sec.gov/Archives/edgar/data/1217234/000156459018013045/cdna-10q_20180331.htm,https://www.sec.gov/Archives/edgar/data/1217234/000156459018024071/cdna-10qa_20180630.htm,https://www.sec.gov/Archives/edgar/data/1217234/000156459018028612/cdna-10q_20180930.htm,
34,1217234,2017,https://www.sec.gov/Archives/edgar/data/1217234/000156459018006584/cdna-10k_20171231.htm,https://www.sec.gov/Archives/edgar/data/1217234/000156459017012372/cdna-10q_20170331.htm,https://www.sec.gov/Archives/edgar/data/1217234/000156459017017296/cdna-10q_20170630.htm,https://www.sec.gov/Archives/edgar/data/1217234/000156459017023333/cdna-10q_20170930.htm,
35,1217234,2016,https://www.sec.gov/Archives/edgar/data/1217234/000119312517152115/d383105d10ka.htm,,,https://www.sec.gov/Archives/edgar/data/1217234/000156459016029303/cdna-10q_20160930.htm,
36,1866550,2024,,https://www.sec.gov/Archives/edgar/data/1866550/000186655024000040/twks-20240331.htm,https://www.sec.gov/Archives/edgar/data/1866550/000162828024035180/twks-20240630.htm,https://www.sec.gov/Archives/edgar/data/1866550/000186655024000060/twks-20240930.htm,
37,1866550,2023,https://www.sec.gov/Archives/edgar/data/1866550/000186655024000022/twks-20231231.htm,https://www.sec.gov/Archives/edgar/data/1866550/000186655023000037/twks-20230331.htm,https://www.sec.gov/Archives/edgar/data/1866550/000186655024000015/twks-20230630.htm,https://www.sec.gov/Archives/edgar/data/1866550/000186655024000016/twks-20230930.htm,
38,1866550,2022,https://www.sec.gov/Archives/edgar/data/1866550/000186655023000008/twks-20221231.htm,https://www.sec.gov/Archives/edgar/data/1866550/000186655022000031/twks-20220331.htm,https://www.sec.gov/Archives/edgar/data/1866550/000186655022000051/twks-20220630.htm,https://www.sec.gov/Archives/edgar/data/1866550/000186655022000080/twks-20220930.htm,
39,1866550,2021,https://www.sec.gov/Archives/edgar/data/1866550/000186655022000006/twks-20211231.htm,,,https://www.sec.gov/Archives/edgar/data/1866550/000186655021000004/twks-20210930.htm,
40,1337619,2024,,https://www.sec.gov/Archives/edgar/data/1337619/000133761924000013/env-20240331.htm,https://www.sec.gov/Archives/edgar/data/1337619/000133761924000020/env-20240630.htm,https://www.sec.gov/Archives/edgar/data/1337619/000133761924000030/env-20240930.htm,
41,1337619,2023,https://www.sec.gov/Archives/edgar/data/1337619/000133761924000005/env-20231231.htm,https://www.sec.gov/Archives/edgar/data/1337619/000133761923000018/env-20230331.htm,https://www.sec.gov/Archives/edgar/data/1337619/000133761923000020/env-20230630.htm,https://www.sec.gov/Archives/edgar/data/1337619/000133761923000024/env-20230930.htm,
42,1337619,2022,https://www.sec.gov/Archives/edgar/data/1337619/000133761923000012/env-20221231.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828022013035/env-20220331.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828022021354/env-20220630.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828022029024/env-20220930.htm,
43,1337619,2021,https://www.sec.gov/Archives/edgar/data/1337619/000162828022003985/env-20211231.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828021009523/env-20210331.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828021016073/env-20210630.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828021022327/env-20210930.htm,
44,1337619,2020,https://www.sec.gov/Archives/edgar/data/1337619/000162828021003457/env-20201231.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828020007208/env2020033110-q.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828020012295/env-20200630.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828020015935/env-20200930.htm,
45,1337619,2019,https://www.sec.gov/Archives/edgar/data/1337619/000162828020002576/env-2019123110xk.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828019006433/env2019033110-q.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828019010454/env2019063010-q.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828019013824/env2019093010-q.htm,
46,1337619,2018,https://www.sec.gov/Archives/edgar/data/1337619/000162828019002344/env-2018123110xk.htm,https://www.sec.gov/Archives/edgar/data/1337619/000155837018004534/env-20180331x10q.htm,https://www.sec.gov/Archives/edgar/data/1337619/000155837018006764/env-20180630x10q.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828018014003/env2018093010-q.htm,
47,1337619,2017,https://www.sec.gov/Archives/edgar/data/1337619/000155837018001307/env-20171231x10k.htm,https://www.sec.gov/Archives/edgar/data/1337619/000155837017004149/env-20170331x10q.htm,https://www.sec.gov/Archives/edgar/data/1337619/000155837017006402/env-20170630x10q.htm,https://www.sec.gov/Archives/edgar/data/1337619/000155837017008720/env-20170930x10q.htm,
48,1337619,2016,https://www.sec.gov/Archives/edgar/data/1337619/000155837017002115/env-20161231x10k.htm,,,,
49,1447028,2024,https://www.sec.gov/Archives/edgar/data/1447028/000144702825000083/abus-20241231.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702824000038/abus-20240331.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702824000072/abus-20240630.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702824000087/abus-20240930.htm,
50,1447028,2023,https://www.sec.gov/Archives/edgar/data/1447028/000144702824000035/abus-20231231.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702823000025/abus-20230331.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702823000082/abus-20230630.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702823000090/abus-20230930.htm,
51,1447028,2022,https://www.sec.gov/Archives/edgar/data/1447028/000144702823000018/abus-20221231.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702822000025/abus-20220331.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702822000047/abus-20220630.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702822000055/abus-20220930.htm,
52,1447028,2021,https://www.sec.gov/Archives/edgar/data/1447028/000144702822000019/abus-20211231.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702821000027/abus-20210331.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702821000052/abus-20210630.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702821000059/abus-20210930.htm,
53,1447028,2020,https://www.sec.gov/Archives/edgar/data/1447028/000144702821000021/abus-20201231.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702820000049/a2020-q110xq.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702820000118/abus-20200630.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702820000150/abus-20200930.htm,
54,1447028,2019,https://www.sec.gov/Archives/edgar/data/1447028/000144702820000041/a201910-ka.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702819000015/arbutusq12019.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702819000025/arbutusq22019.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702819000071/arbutusq32019.htm,
55,1447028,2018,https://www.sec.gov/Archives/edgar/data/1447028/000144702819000006/arbutus10k2018.htm,https://www.sec.gov/Archives/edgar/data/1447028/000162828018005886/arbutusq12018.htm,https://www.sec.gov/Archives/edgar/data/1447028/000162828018010369/arbutusq22018.htm,https://www.sec.gov/Archives/edgar/data/1447028/000162828018013909/arbutusq32018.htm,
56,1447028,2017,https://www.sec.gov/Archives/edgar/data/1447028/000162828018003276/arbutus10k2017.htm,https://www.sec.gov/Archives/edgar/data/1447028/000162828017004968/arbutusq12017.htm,https://www.sec.gov/Archives/edgar/data/1447028/000162828017008044/arbutusq22017.htm,https://www.sec.gov/Archives/edgar/data/1447028/000162828017010727/arbutusq32017.htm,
57,1447028,2016,https://www.sec.gov/Archives/edgar/data/1447028/000162828017002760/arbutus10k2016.htm,https://www.sec.gov/Archives/edgar/data/1447028/000162828016015493/arbutusq12016.htm,https://www.sec.gov/Archives/edgar/data/1447028/000162828016018534/arbutusq22016.htm,https://www.sec.gov/Archives/edgar/data/1447028/000091228216000926/arbutus10qa_122016.htm,
58,1447028,2015,https://www.sec.gov/Archives/edgar/data/1447028/000162828016012607/arbutusform10-kamarch2016.htm,https://www.sec.gov/Archives/edgar/data/1447028/000117184315003849/f10qa_071315.htm,https://www.sec.gov/Archives/edgar/data/1447028/000117184315004476/gfpf10q_080515.htm,https://www.sec.gov/Archives/edgar/data/1447028/000106299315005809/form10q.htm,
59,1447028,2014,https://www.sec.gov/Archives/edgar/data/1447028/000117184315002398/f10ka_043015.htm,https://www.sec.gov/Archives/edgar/data/1447028/000117184314002374/f10q_051414.htm,https://www.sec.gov/Archives/edgar/data/1447028/000117184314003980/f10q_081314.htm,https://www.sec.gov/Archives/edgar/data/1447028/000117184314005345/gff10q_110614.htm,
60,1427437,2024,https://www.sec.gov/Archives/edgar/data/1427437/000006598425000012/etr-20241231.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598424000049/etr-20240331.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598424000095/etr-20240630.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598424000112/etr-20240930.htm,
61,1427437,2023,https://www.sec.gov/Archives/edgar/data/1427437/000006598424000012/etr-20231231.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598423000040/etr-20230331.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598423000073/etr-20230630.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598423000094/etr-20230930.htm,
62,1427437,2022,https://www.sec.gov/Archives/edgar/data/1427437/000006598423000014/etr-20221231.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598422000064/etr-20220331.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598422000129/etr-20220630.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598422000185/etr-20220930.htm,
63,1427437,2021,https://www.sec.gov/Archives/edgar/data/1427437/000006598422000017/etr-20211231.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598421000182/etr-20210331.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598421000236/etr-20210630.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598421000291/etr-20210930.htm,
64,1427437,2020,https://www.sec.gov/Archives/edgar/data/1427437/000006598421000096/etr-20201231.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598420000154/etr-03x31x2020x10q.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598420000222/etr-20200630.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598420000283/etr-20200930.htm,
65,1427437,2019,https://www.sec.gov/Archives/edgar/data/1427437/000006598420000069/etr-12312019x10k.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598419000179/etr-03x31x2019x10q.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598419000257/etr-06x30x2019x10q.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598419000316/etr-09x30x2019x10q.htm,
66,1427437,2018,https://www.sec.gov/Archives/edgar/data/1427437/000006598419000082/etr-12312018x10k.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598418000132/etr-03x31x2018x10q.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598418000192/etr-06x30x2018x10q.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598418000229/etr-09x30x2018x10q.htm,
67,1427437,2017,https://www.sec.gov/Archives/edgar/data/1427437/000006598418000072/etr-12312017x10k.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598417000114/etr-03x31x2017x10q.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598417000173/etr-06x30x2017x10q.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598417000216/etr-09x30x2017x10q.htm,
68,1427437,2016,https://www.sec.gov/Archives/edgar/data/1427437/000006598417000067/etr-12312016x10k.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598416000539/etr-03x31x2016x10q.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598416000623/etr-06x30x2016x10q.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598416000716/etr-09x30x2016x10q.htm,
69,1427437,2015,https://www.sec.gov/Archives/edgar/data/1427437/000006598416000436/etr-12312015x10k.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598415000145/etr-03x31x2015x10q.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598415000238/etr-06x30x2015x10q.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598415000319/etr-09x30x2015x10q.htm,
70,1427437,2014,https://www.sec.gov/Archives/edgar/data/1427437/000006598415000102/etr-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598414000149/etr-03x31x2014x10q.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598414000228/etr-06x30x2014x10q.htm,https://www.sec.gov/Archives/edgar/data/1427437/000006598414000255/etr-09x30x2014x10q.htm,
71,1262976,2024,https://www.sec.gov/Archives/edgar/data/1262976/000126297624000064/cmpr-20240630.htm,https://www.sec.gov/Archives/edgar/data/1262976/000126297624000035/cmpr-20240331.htm,,https://www.sec.gov/Archives/edgar/data/1262976/000126297624000115/cmpr-20240930.htm,https://www.sec.gov/Archives/edgar/data/1262976/000126297625000011/cmpr-20241231.htm
72,1262976,2023,https://www.sec.gov/Archives/edgar/data/1262976/000126297623000051/cmpr-20230630.htm,https://www.sec.gov/Archives/edgar/data/1262976/000126297623000036/cmpr-20230331.htm,,https://www.sec.gov/Archives/edgar/data/1262976/000126297623000079/cmpr-20230930.htm,https://www.sec.gov/Archives/edgar/data/1262976/000126297624000007/cmpr-20231231.htm
73,1262976,2022,https://www.sec.gov/Archives/edgar/data/1262976/000126297622000031/cmpr-20220630.htm,https://www.sec.gov/Archives/edgar/data/1262976/000126297622000019/cmpr-20220331.htm,,https://www.sec.gov/Archives/edgar/data/1262976/000126297622000047/cmpr-20220930.htm,https://www.sec.gov/Archives/edgar/data/1262976/000126297623000007/cmpr-20221231.htm
74,1262976,2021,https://www.sec.gov/Archives/edgar/data/1262976/000126297621000040/cmpr-20210630.htm,https://www.sec.gov/Archives/edgar/data/1262976/000126297621000030/cmpr-20210331.htm,,https://www.sec.gov/Archives/edgar/data/1262976/000126297621000065/cmpr-20210930.htm,https://www.sec.gov/Archives/edgar/data/1262976/000126297622000010/cmpr-20211231.htm
75,1262976,2020,https://www.sec.gov/Archives/edgar/data/1262976/000126297620000060/cmpr0630202010-k.htm,https://www.sec.gov/Archives/edgar/data/1262976/000126297620000046/cmpr0331202010-q.htm,,https://www.sec.gov/Archives/edgar/data/1262976/000126297620000089/cmpr-20200930.htm,https://www.sec.gov/Archives/edgar/data/1262976/000126297621000008/cmpr-20201231.htm
76,1262976,2019,https://www.sec.gov/Archives/edgar/data/1262976/000126297619000053/cmpr0630201910-k.htm,https://www.sec.gov/Archives/edgar/data/1262976/000126297619000032/cmpr0331201910-q.htm,,https://www.sec.gov/Archives/edgar/data/1262976/000126297619000090/cmpr0930201910-q.htm,https://www.sec.gov/Archives/edgar/data/1262976/000126297620000007/cmpr1231201910-q.htm
77,1262976,2018,https://www.sec.gov/Archives/edgar/data/1262976/000126297618000052/cmpr630201810-k.htm,https://www.sec.gov/Archives/edgar/data/1262976/000126297618000021/cmpr331201810-q.htm,,https://www.sec.gov/Archives/edgar/data/1262976/000126297618000087/cmpr930201810-q.htm,https://www.sec.gov/Archives/edgar/data/1262976/000126297619000013/cmpr1231201810-q.htm
78,1262976,2017,https://www.sec.gov/Archives/edgar/data/1262976/000126297617000025/cmpr0630201710-k.htm,https://www.sec.gov/Archives/edgar/data/1262976/000126297617000018/cmpr0331201710-q.htm,,https://www.sec.gov/Archives/edgar/data/1262976/000126297617000034/cmpr0930201710-q.htm,https://www.sec.gov/Archives/edgar/data/1262976/000126297618000006/cmpr1231201710-q.htm
79,1262976,2016,https://www.sec.gov/Archives/edgar/data/1262976/000126297616000073/cmpr630201610k.htm,https://www.sec.gov/Archives/edgar/data/1262976/000126297616000053/cmpr331201610q.htm,,https://www.sec.gov/Archives/edgar/data/1262976/000126297616000081/cmpr930201610-q.htm,https://www.sec.gov/Archives/edgar/data/1262976/000126297617000008/cmpr1231201610-q.htm
80,1262976,2015,https://www.sec.gov/Archives/edgar/data/1262976/000126297615000008/cmpr630201510k.htm,https://www.sec.gov/Archives/edgar/data/1262976/000162828015003325/cmpr331201510q.htm,,https://www.sec.gov/Archives/edgar/data/1262976/000126297615000021/cmpr930201510q.htm,https://www.sec.gov/Archives/edgar/data/1262976/000126297616000030/cmpr1231201510q.htm
